Length,Dtype,Rel_Error,Max_Error
128,Chunk-FP32,1.339156040975507e-07,1.2090446418255851e-05
128,Chunk-BF16,0.0057121915921640575,0.6634403715160886
128,Chunk-FP16,0.0007076517085458839,0.07740624848148059
1024,Chunk-FP32,1.657449818210701e-07,1.9802852072814403e-05
1024,Chunk-BF16,0.009116128460627633,1.4899173801213266
1024,Chunk-FP16,0.001167938250448726,0.1602699632760789
2048,Chunk-FP32,1.584050873922946e-07,2.0997146762624652e-05
2048,Chunk-BF16,0.008242215170898445,1.3063034919197136
2048,Chunk-FP16,0.0010264282639657805,0.1821871207844339
4096,Chunk-FP32,1.5731881752280293e-07,2.214397667898993e-05
4096,Chunk-BF16,0.008242425959050162,1.7161360724847867
4096,Chunk-FP16,0.0010107972263370285,0.15170108193705545
8192,Chunk-FP32,1.4742059737508615e-07,2.2361218199762334e-05
8192,Chunk-BF16,0.006682600521874384,1.2720120479620505
8192,Chunk-FP16,0.0008383319815726345,0.15239671248436082
16384,Chunk-FP32,1.4639667841361075e-07,2.4211303255583516e-05
16384,Chunk-BF16,0.007069785429208944,1.3698353353062487
16384,Chunk-FP16,0.0008442708753157453,0.20297571384340074
32768,Chunk-FP32,1.506084962443571e-07,2.7194020134402308e-05
32768,Chunk-BF16,0.0075357162135413205,1.4753362049440213
32768,Chunk-FP16,0.0009323864242057401,0.19350322168966727
