step,loss,aux_loss,raw_aux,ppl,lr,mem_gb,step_time
376,6.1839,0.0495,247.6342,484.89,1.13e-04,3.0,448.29
377,6.344,0.049,245.1014,569.05,1.14e-04,3.0,53.06
378,6.0556,0.0496,247.8428,426.51,1.14e-04,3.0,55.8
379,6.166,0.0492,245.8265,476.26,1.15e-04,3.0,55.57
380,6.2902,0.0483,241.2595,539.26,1.15e-04,3.0,55.58
381,6.3912,0.0478,238.9214,596.55,1.16e-04,3.0,55.88
382,6.2245,0.0481,240.4966,504.97,1.17e-04,3.0,55.66
383,6.3643,0.0481,240.3139,580.74,1.17e-04,3.0,55.42
384,6.3853,0.0474,237.0854,593.06,1.18e-04,3.0,55.63
385,6.5326,0.0479,239.258,687.19,1.18e-04,3.0,55.76
386,6.3393,0.0477,238.6279,566.43,1.19e-04,3.0,55.83
387,6.4321,0.0478,239.1894,621.51,1.20e-04,3.0,55.63
388,6.5505,0.0492,245.9411,699.6,1.20e-04,3.0,55.59
389,6.4774,0.0481,240.6078,650.25,1.21e-04,3.0,55.67
390,6.3275,0.0486,243.0687,559.74,1.21e-04,3.0,55.77
391,6.2509,0.0483,241.733,518.5,1.22e-04,3.0,55.74
392,6.4212,0.0477,238.3806,614.75,1.23e-04,3.0,55.55
393,6.6071,0.048,240.1176,740.33,1.23e-04,3.0,55.62
394,6.5386,0.0481,240.2991,691.31,1.24e-04,3.0,55.65
395,6.4545,0.0479,239.5893,635.57,1.24e-04,3.0,55.63
396,6.4568,0.0477,238.5497,637.0,1.25e-04,3.0,55.63
397,6.1602,0.049,244.833,473.51,1.26e-04,3.0,55.63
398,6.2615,0.0488,243.9332,524.0,1.26e-04,3.0,55.68
399,6.4738,0.048,239.8359,647.97,1.27e-04,3.0,55.69
400,6.5863,0.0478,238.7772,725.11,1.27e-04,3.0,55.6
401,6.357,0.0485,242.4658,576.53,1.28e-04,3.0,60.05
402,6.5939,0.0476,238.1128,730.64,1.29e-04,3.0,55.79
403,6.2107,0.0481,240.7368,498.06,1.29e-04,3.0,55.51
404,6.5316,0.0477,238.5977,686.47,1.30e-04,3.0,55.69
405,6.4839,0.0486,243.2156,654.5,1.31e-04,3.0,55.81
406,6.5775,0.0479,239.2861,718.71,1.31e-04,3.0,55.68
407,6.4615,0.0482,241.122,640.02,1.32e-04,3.0,55.69
408,6.4037,0.0481,240.305,604.08,1.32e-04,3.0,55.69
409,6.4276,0.0485,242.4627,618.69,1.33e-04,3.0,55.64
410,6.3568,0.0498,248.9577,576.41,1.33e-04,3.0,55.6
411,6.2957,0.0491,245.3395,542.24,1.34e-04,3.0,55.6
412,6.3666,0.0486,242.7771,582.08,1.35e-04,3.0,55.64
413,6.5265,0.0476,238.2415,683.02,1.35e-04,3.0,55.65
414,6.2939,0.0482,240.9256,541.24,1.36e-04,3.0,55.74
415,6.3784,0.0485,242.2543,588.96,1.36e-04,3.0,55.7
416,6.4089,0.048,240.2479,607.25,1.37e-04,3.0,55.69
417,6.1543,0.0484,242.1695,470.74,1.38e-04,3.0,55.56
418,6.3904,0.0484,241.9333,596.08,1.38e-04,3.0,55.66
419,6.4499,0.0475,237.4597,632.66,1.39e-04,3.0,55.73
420,6.4747,0.0475,237.709,648.5,1.40e-04,3.0,55.7
421,6.8389,0.0473,236.4137,933.45,1.40e-04,3.0,55.62
422,6.528,0.048,240.228,684.01,1.41e-04,3.0,55.53
423,6.6885,0.0472,236.0418,803.12,1.41e-04,3.0,55.53
424,6.0962,0.0482,241.1728,444.18,1.42e-04,3.0,55.76
425,6.1479,0.0479,239.3978,467.74,1.42e-04,3.0,55.74
426,6.4589,0.0473,236.5512,638.38,1.43e-04,3.0,55.52
427,6.4421,0.0475,237.2832,627.73,1.44e-04,3.0,55.37
428,6.4887,0.0472,236.0054,657.65,1.44e-04,3.0,55.5
429,6.4643,0.0469,234.7255,641.83,1.45e-04,3.0,55.62
430,6.3439,0.0473,236.6842,568.98,1.45e-04,3.0,55.67
431,6.5915,0.0471,235.257,728.87,1.46e-04,3.0,55.59
432,6.9644,0.0468,233.9376,1058.24,1.47e-04,3.0,55.55
433,6.4615,0.0532,265.7814,640.03,1.47e-04,3.0,55.51
434,6.3319,0.0476,237.9156,562.22,1.48e-04,3.0,55.53
435,6.409,0.0476,238.0723,607.31,1.48e-04,3.0,55.68
436,6.2157,0.0483,241.2538,500.54,1.49e-04,3.0,55.74
437,6.2988,0.0481,240.654,543.9,1.50e-04,3.0,55.7
438,6.1413,0.049,245.0236,464.65,1.50e-04,3.0,55.55
439,6.1901,0.049,244.8151,487.89,1.51e-04,3.0,55.38
440,6.0911,0.0497,248.4376,441.92,1.51e-04,3.0,55.56
441,6.3141,0.0494,247.1696,552.32,1.52e-04,3.0,55.8
442,6.2409,0.0495,247.3704,513.31,1.53e-04,3.0,55.74
443,6.2384,0.0486,243.1863,512.04,1.53e-04,3.0,55.73
444,5.9809,0.0497,248.5568,395.78,1.54e-04,3.0,55.57
445,6.1973,0.0494,247.1732,491.43,1.54e-04,3.0,55.47
